3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,A,1064566.29029266,['btc'],i6jpz2b54me4qsclqakanlbdcupc5ry5z5vnd7lbwxst6xv7kngo5fyd.onion,0.23131329081299853
1DkyBEKt5S2GDtv7aQw6rQepAvnsRyHoYM,A,613326.98425278,['btc'],btc4ur6aq2pjlgxpzeyltsv2jy3d546e2btlbagrmuru6b2bzfa437id.onion,0.26086956521739135
bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu,A,602631.98838222,['btc'],jxjwvgvboy4ahvbszmgnwf2kg45hfiu6gygdn5rzow4z7eupf2hpg4yd.onion,0
18cBEMRxXHqzWWCxZNtU91F5sbUNKhL5PX,A,300336.55260113,['btc'],btcexpz7xlwrqknqw6p3bok6shf73qtkd6zxct4x4qta2ktvh7ntprad.onion,0.26086956521739135
bc1q0zgt8lfgc5p8gz4rg76jkugj0duqtlfdps8zfv,A,103908.45674303,['btc'],hxymsnrvgifiw27v4teyivwjgin3cekldv7kc5hgip3p55ikf6kndpqd.onion,0.15000000000000002
36XWTfSYJJz3WSNPZVZ3q3aa5eFuJHR9nu,A,60000.63363001,['btc'],ugd4iognhsb6ssb3ijzf4t2opz5pinwy3w7onpiypd4kx4nenkyx5bqd.onion,0.23131329081299853
3L1p2tUHPwrRN3qgf4Hm1R73e29hFshbnp,A,35019.74716787,['btc'],hxymsnrvgifiw27v4teyivwjgin3cekldv7kc5hgip3p55ikf6kndpqd.onion,0.15000000000000002
1ESGu131jkhgUcYk8sFWWUfPpTNrfGgAmS,A,32703.62369649,['btc'],zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
3C3wyZ1wzDH3ror1qaqe6ZmCMNMGD4YsLt,A,13895.84492398,['btc'],jvugdv7ahpdvj6wdtdllrcu2nlh7mmhj4zfewjkwiftphmipovtu6iqd.onion,0
1MkCDCzHpBsYQivp8MxjY5AkTGG1f2baoe,A,9363.94430646,['btc'],btcexpz7xlwrqknqw6p3bok6shf73qtkd6zxct4x4qta2ktvh7ntprad.onion,0.26086956521739135
3Ph5RpYvLQh25jb5W5MJzzYxLNp19nptuZ,A,8034.57407187,['btc'],fyznue4bzaw5zuu6uc6hmsi234cfpabxzrijlmv5rfdel72msv26nzqd.onion,0
36DJQZNEXMpoJtb74BxJyEqKrJ53yj9xUv,A,7509.64938676,['btc'],emvsmrr5nurczna7ednw57djlnejgsjibpqatgw2wnln6nzfado2edid.onion,0
37CEbX6uMJUC5MHtzzBKsuyDeZUL2wFRBe,A,6932.461,['btc'],ugd4iognhsb6ssb3ijzf4t2opz5pinwy3w7onpiypd4kx4nenkyx5bqd.onion,0.23131329081299853
1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,A,6511.96162281,['btc'],zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
39J7NGNRM9Nn5hmLqTEEJchnR9CYpT3kb3,A,5832.72070739,['btc'],6fg23v34spp3pauwxiwjkgdsraychjml43lw53rsu2z744kiz3tbnzyd.onion,0
bc1qpen0aj43e9x8dlszkwslle8qwy7lr3jsnmvyp5,A,4217.70606857,['btc'],qmlomg2blx52wa2vwjimsbydtig7v2mawce3oljol4oaziltkiqqlqqd.onion,0
1C4H9GDALbjDVnbfTt4a9ML1XbwzLS1rUC,A,1908.00221958,['btc'],zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
1Ek9Jj3Z3Bnipe3DnMq2otXG5iNjze66VR,A,1799.24113051,['btc'],zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
1Fkhvum7YANk14mQ4cRQFPXph7cHWLedXv,A,1491.94566051,['btc'],zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
124EXsMqDuYdczBoZyhbCy2AmvH1ereyb1,A,1355.18506554,['btc'],jxjwvgvboy4ahvbszmgnwf2kg45hfiu6gygdn5rzow4z7eupf2hpg4yd.onion,0
1APMXEM4SUeR9WBwvUVjAponH9vzeG2fjp,A,1201.00161957,['btc'],zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
36SxxWCYjubyjr3Xc8uySDLahqjvcfjcsX,A,908.02629378,['btc'],qmlomg2blx52wa2vwjimsbydtig7v2mawce3oljol4oaziltkiqqlqqd.onion,0
1EGVEt7gqCFDQwtCWdVdzq7NKr1g5BjQ3M,A,794.11162961,['btc'],zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
1Gyza1hXzt4t5TiRV9t3NZQZ2SxrmVda6m,A,736.3857648,['btc'],hnmdzkwudskimhv3uwxsd2e65b7vlskrvcunum25ywcodkcfcq5l3bqd.onion,0
19YBP8aANTmwMAnu1e814s2YTxfB97ycHK,A,711.24324002,['btc'],4r5zxseo3ofrhxdxmbbckjke4zc7sb4iqyaufpizsvscmfovb4se6jyd.onion,0
bc1qwypyhe528cgwscketsnf7qcmyfr7g0h35x9wd7,A,686.31281712,['btc'],dlkwa633sv53zama2isxqnsyvhioaj5loqzuvkxanjx2wvdozuxcs4ad.onion,0
15xn8ScBoD2RyKbWvPMy5kYQLvnYj8kdNg,A,615.89242543,['btc'],3hzfin7sq2tiu6sh6wxidgpe3rr3loq4xpfhbmbxqnwg3bdg3uhuqcqd.onion,0.2775
1DLxfMsLyoGtzkjEwCcPuxEqqdP1CSe4Xr,A,615.68230138,['btc'],zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
1HfyR2SZMVFHgzoQRpiim8vH2znhzqW4o7,A,556.77144288,['btc'],hxymsnrvgifiw27v4teyivwjgin3cekldv7kc5hgip3p55ikf6kndpqd.onion,0.15000000000000002
3JvXEnR2fgrfyhTDxFJAxHtAFjzv1bT8iH,A,415.21401721,['btc'],3hzfin7sq2tiu6sh6wxidgpe3rr3loq4xpfhbmbxqnwg3bdg3uhuqcqd.onion,0.2775
1C49cQ6hxQhsr6dpBEWPEjmTAR6jQqQtFz,A,401.04054671,['btc'],e2mtjhwu63uox553pyhs72h6sjho45zwxf3l242b3t52y4z6mw542uid.onion,0.2775
17Ad5ts7ZopXLdrThhoLBEVaLj4XWTe9HY,A,356.2,['btc'],3hzfin7sq2tiu6sh6wxidgpe3rr3loq4xpfhbmbxqnwg3bdg3uhuqcqd.onion,0.2775
1Edi4uNFiR3R2Tw96MU3bLi7ZFtBsihNpY,A,354.00093679,['btc'],4f56dbv33j4meld3s5tnuzu5sapjzc2a5mmn2rwpgzsiwum6kvn7kcad.onion,0.2775
1JqPFnGPhHhy54zJKmC1MPiczzgFjCmzE9,A,340.0028374,['btc'],7n5yzusjd5tieznjw64uwm3xvxui7yo25rnu25uwhpoamijkrx2p2xad.onion,0.15000000000000002
36uwN8ix9tLGqzpLdfQoHAfUfwRjBAoPgf,A,318.27692772,['btc'],qmlomg2blx52wa2vwjimsbydtig7v2mawce3oljol4oaziltkiqqlqqd.onion,0
1FTdPSvcTvr8658KnsYWVX2zg5PetvKLqQ,A,307.87054731,['btc'],zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
1BENyZRDw2Qz9XQ5awBMnqDLZthy5RSStP,A,296.78054131,['btc'],zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
1NibfhHfgA857dtG6pB25Y5hDcxpDo2J47,A,266.50445853,['btc'],bitplerxjaank466qpdaovmzr32uqneh7fdd5qizja6vn75rhsl6fdqd.onion,0.26086956521739135
1EE2ThKyevd5MoFsbCYftAyy5vtkpb4Lfg,A,265.42377314,['btc'],zv3y3foernmw4v63jiznf7hc2vaayfd23hx5tgzkaol72swkwvsamoyd.onion,0.2775
